name,year,citation,snippet,is_real,source,url
Jadu Gopal Chakravarthy (Dead) After ... vs Pannalal Bhowmick And Ors,1978,(1978) Supreme Court of India,Supreme Court judgment. Query category: property dispute land acquisition.,True,indiankanoon.org,https://indiankanoon.org/docfragment/477701/?formInput=property%20dispute%20land%20acquisition%20%20doctypes%3A%20supremecourt
Bikramjit Singh vs The State Of Punjab,2020,(2020) Supreme Court of India,Supreme Court judgment. Query category: writ petition habeas corpus.,True,indiankanoon.org,https://indiankanoon.org/docfragment/10807134/?formInput=writ%20petition%20habeas%20corpus%20%20doctypes%3A%20supremecourt
Internet Freedom Foundation v. State of Karnataka,2021,(2021) 7 SCC 209,"Petition challenging electoral bond scheme transparency, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Hamsaanandini Nanduri vs Union Of India,2026,(2026) Supreme Court of India,Supreme Court judgment. Query category: constitutional validity fundamental rights.,True,indiankanoon.org,https://indiankanoon.org/docfragment/58466692/?formInput=constitutional%20validity%20fundamental%20rights%20%20doctypes%3A%20supremecourt
Ajay Kumar Choudhary vs Union Of India Thr Its Secretary & Anr,2015,(2015) Supreme Court of India,Supreme Court judgment. Query category: article 21 right to life liberty.,True,indiankanoon.org,https://indiankanoon.org/docfragment/8766447/?formInput=article%2021%20right%20to%20life%20liberty%20%20doctypes%3A%20supremecourt
Ravindra Ramchandra Waghmare vs Indore Mun.Corp.& Ors,2016,(2016) Supreme Court of India,Supreme Court judgment. Query category: property dispute land acquisition.,True,indiankanoon.org,https://indiankanoon.org/docfragment/121065383/?formInput=property%20dispute%20land%20acquisition%20%20doctypes%3A%20supremecourt
Rural Development Society v. State of Tamil Nadu,2009,(2009) 6 SCC 2,"Petition challenging anti-defection law interpretation, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Surinder Singh Deswal @ Col. S. S. Deswal vs Virender Gandhi,2019,(2019) Supreme Court of India,Supreme Court judgment. Query category: criminal appeal conviction sentence.,True,indiankanoon.org,https://indiankanoon.org/docfragment/172085988/?formInput=criminal%20appeal%20conviction%20sentence%20%20doctypes%3A%20supremecourt
Prathvi Raj Chauhan vs Union Of India,2020,(2020) Supreme Court of India,Supreme Court judgment. Query category: article 21 right to life liberty.,True,indiankanoon.org,https://indiankanoon.org/docfragment/31336209/?formInput=article%2021%20right%20to%20life%20liberty%20%20doctypes%3A%20supremecourt
National Farmers Welfare Association v. Ministry of Finance,2005,(2005) 9 SCC 183,"Petition challenging arbitrary internet shutdowns in conflict zones, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Jharkhand State Housing Board vs Shri Didar Singh,2018,(2018) Supreme Court of India,Supreme Court judgment. Query category: property dispute land acquisition.,True,indiankanoon.org,https://indiankanoon.org/docfragment/41602852/?formInput=property%20dispute%20land%20acquisition%20%20doctypes%3A%20supremecourt
People'S Union Of Civil Liberties ... vs Union Of India & Anr,2003,(2003) Supreme Court of India,Supreme Court judgment. Query category: constitutional validity fundamental rights.,True,indiankanoon.org,https://indiankanoon.org/docfragment/15059075/?formInput=constitutional%20validity%20fundamental%20rights%20%20doctypes%3A%20supremecourt
Ishwari Lal Yadav vs State Of Chhattisgarh,2019,(2019) Supreme Court of India,Supreme Court judgment. Query category: criminal appeal conviction sentence.,True,indiankanoon.org,https://indiankanoon.org/docfragment/51591697/?formInput=criminal%20appeal%20conviction%20sentence%20%20doctypes%3A%20supremecourt
Rashmi Ajay Kr.Kesharwani vs Ajay Kr.Kesharwani And Ors,2012,(2012) Supreme Court of India,Supreme Court judgment. Query category: writ petition habeas corpus.,True,indiankanoon.org,https://indiankanoon.org/docfragment/124591812/?formInput=writ%20petition%20habeas%20corpus%20%20doctypes%3A%20supremecourt
Tech Freedom Initiative v. National Investigation Agency,2015,(2015) 13 SCC 359,"Petition challenging arbitrary internet shutdowns in conflict zones, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Mahmadhusen Abdulrahim Kalota Shaikh vs Union Of India & Ors,2008,(2008) Supreme Court of India,Supreme Court judgment. Query category: constitutional validity fundamental rights.,True,indiankanoon.org,https://indiankanoon.org/docfragment/342033/?formInput=constitutional%20validity%20fundamental%20rights%20%20doctypes%3A%20supremecourt
Vineeta Sharma vs Rakesh Sharma,2020,(2020) Supreme Court of India,Supreme Court judgment. Query category: property dispute land acquisition.,True,indiankanoon.org,https://indiankanoon.org/docfragment/67965481/?formInput=property%20dispute%20land%20acquisition%20%20doctypes%3A%20supremecourt
Small Traders Federation of India v. State of Karnataka,2013,(2013) 13 SCC 872,"Petition challenging uniform civil code implementation in Goa, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
National Parents Association v. State of Delhi,2018,(2018) 10 SCC 161,"Petition challenging anti-defection law interpretation, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Santokh Singh vs Delhi Administration,1973,(1973) Supreme Court of India,Supreme Court judgment. Query category: constitutional validity fundamental rights.,True,indiankanoon.org,https://indiankanoon.org/docfragment/572877/?formInput=constitutional%20validity%20fundamental%20rights%20%20doctypes%3A%20supremecourt
Digital Rights Foundation v. National Highway Authority,2013,(2013) 5 SCC 733,"Petition challenging right to be forgotten in the digital age, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
"State Tr.P.S.Lodhi Colony,New Delhi vs Sanjeev Nanda",2012,(2012) Supreme Court of India,Supreme Court judgment. Query category: criminal appeal conviction sentence.,True,indiankanoon.org,https://indiankanoon.org/docfragment/190237958/?formInput=criminal%20appeal%20conviction%20sentence%20%20doctypes%3A%20supremecourt
Consumer Rights Federation v. Reserve Bank of India,2002,(2002) 3 SCC 19,"Petition challenging mandatory biometric attendance in schools, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Digital Rights Foundation v. Reserve Bank of India,2005,(2005) 2 SCC 34,"Petition challenging retrospective environmental clearance for highways, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Internet Freedom Foundation v. State of Karnataka,2000,(2000) 10 SCC 674,"Petition challenging overnight bail restrictions for journalists, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
"The State Of West Bengal vs Anwar All Sarkarhabib Mohamed,The ...",1952,(1952) Supreme Court of India,Supreme Court judgment. Query category: constitutional validity fundamental rights.,True,indiankanoon.org,https://indiankanoon.org/docfragment/1270239/?formInput=constitutional%20validity%20fundamental%20rights%20%20doctypes%3A%20supremecourt
Internet Freedom Foundation v. State of West Bengal,2018,(2018) 6 SCC 463,"Petition challenging mandatory COVID-19 vaccination policy, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
The Home Secretary (Prison) vs H. Nilofer Nisha,2020,(2020) Supreme Court of India,Supreme Court judgment. Query category: writ petition habeas corpus.,True,indiankanoon.org,https://indiankanoon.org/docfragment/7964850/?formInput=writ%20petition%20habeas%20corpus%20%20doctypes%3A%20supremecourt
Surya Vadanan vs State Of Tamilnadu & Ors,2015,(2015) Supreme Court of India,Supreme Court judgment. Query category: writ petition habeas corpus.,True,indiankanoon.org,https://indiankanoon.org/docfragment/85436368/?formInput=writ%20petition%20habeas%20corpus%20%20doctypes%3A%20supremecourt
Consumer Rights Federation v. Department of Telecommunications,2018,(2018) 13 SCC 947,"Petition challenging right to be forgotten in the digital age, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Dayal Singh & Ors vs Union Of India & Ors,2003,(2003) Supreme Court of India,Supreme Court judgment. Query category: property dispute land acquisition.,True,indiankanoon.org,https://indiankanoon.org/docfragment/876341/?formInput=property%20dispute%20land%20acquisition%20%20doctypes%3A%20supremecourt
Union Of India & Ors vs Shiv Raj & Ors,2014,(2014) Supreme Court of India,Supreme Court judgment. Query category: property dispute land acquisition.,True,indiankanoon.org,https://indiankanoon.org/docfragment/120765903/?formInput=property%20dispute%20land%20acquisition%20%20doctypes%3A%20supremecourt
"R.K.Anand vs Registrar,Delhi High Court",2009,(2009) Supreme Court of India,Supreme Court judgment. Query category: writ petition habeas corpus.,True,indiankanoon.org,https://indiankanoon.org/docfragment/58440/?formInput=writ%20petition%20habeas%20corpus%20%20doctypes%3A%20supremecourt
People`S Union For Civilliberties ... vs The Union Of India And Another,1996,(1996) Supreme Court of India,Supreme Court judgment. Query category: article 21 right to life liberty.,True,indiankanoon.org,https://indiankanoon.org/docfragment/973841/?formInput=article%2021%20right%20to%20life%20liberty%20%20doctypes%3A%20supremecourt
Urban Residents Welfare Board v. National Investigation Agency,2014,(2014) 2 SCC 373,"Petition challenging sedition charges against students, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Healthcare Workers Union v. Central Bureau of Investigation,2010,(2010) 5 SCC 900,"Petition challenging digital surveillance by intelligence agencies, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
"Mohinuddin @ Moin Master vs District Magistrate, Beed & Ors",1987,(1987) Supreme Court of India,Supreme Court judgment. Query category: writ petition habeas corpus.,True,indiankanoon.org,https://indiankanoon.org/docfragment/655138/?formInput=writ%20petition%20habeas%20corpus%20%20doctypes%3A%20supremecourt
Association of Democratic Reforms v. Central Bureau of Investigation,2003,(2003) 11 SCC 307,"Petition challenging anti-defection law interpretation, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Indian Civil Liberties Union v. State of Uttar Pradesh,2020,(2020) 1 SCC 826,"Petition challenging right to water as a fundamental right, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Association of Democratic Reforms v. Food Corporation of India,2016,(2016) 2 SCC 807,"Petition challenging overnight bail restrictions for journalists, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
"Sapmawia vs Deputy Commissioner, Aijal",1970,(1970) Supreme Court of India,Supreme Court judgment. Query category: writ petition habeas corpus.,True,indiankanoon.org,https://indiankanoon.org/docfragment/330105/?formInput=writ%20petition%20habeas%20corpus%20%20doctypes%3A%20supremecourt
Gujarat Steel Tubes Ltd vs Gujarat Steel Tubes Mazdoor Sabha,1979,(1979) Supreme Court of India,Supreme Court judgment. Query category: service law government employment.,True,indiankanoon.org,https://indiankanoon.org/docfragment/609478/?formInput=service%20law%20government%20employment%20%20doctypes%3A%20supremecourt
State Of Punjab And Anr vs Khan Chand,1973,(1973) Supreme Court of India,Supreme Court judgment. Query category: constitutional validity fundamental rights.,True,indiankanoon.org,https://indiankanoon.org/docfragment/1113423/?formInput=constitutional%20validity%20fundamental%20rights%20%20doctypes%3A%20supremecourt
Tech Freedom Initiative v. State of Maharashtra,2003,(2003) 12 SCC 864,"Petition challenging hate speech regulation on social media, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Harjinder Singh vs Punjab State Warehousing Corp,2010,(2010) Supreme Court of India,Supreme Court judgment. Query category: service law government employment.,True,indiankanoon.org,https://indiankanoon.org/docfragment/1613762/?formInput=service%20law%20government%20employment%20%20doctypes%3A%20supremecourt
I.C. Golak Nath And Ors. vs State Of Punjab And Anr.,1967,(1967) Supreme Court of India,Supreme Court judgment. Query category: constitutional validity fundamental rights.,True,indiankanoon.org,https://indiankanoon.org/docfragment/21266288/?formInput=constitutional%20validity%20fundamental%20rights%20%20doctypes%3A%20supremecourt
Urban Residents Welfare Board v. Reserve Bank of India,2016,(2016) 16 SCC 502,"Petition challenging mandatory biometric attendance in schools, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Sardar Syedna Taher Saifuddin Saheb vs The State Of Bombay,1962,(1962) Supreme Court of India,Supreme Court judgment. Query category: constitutional validity fundamental rights.,True,indiankanoon.org,https://indiankanoon.org/docfragment/510078/?formInput=constitutional%20validity%20fundamental%20rights%20%20doctypes%3A%20supremecourt
E. P. Royappa vs State Of Tamil Nadu & Anr,1973,(1973) Supreme Court of India,Supreme Court judgment. Query category: service law government employment.,True,indiankanoon.org,https://indiankanoon.org/docfragment/1327287/?formInput=service%20law%20government%20employment%20%20doctypes%3A%20supremecourt
